STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	BRCA1	BRCA2	TP53	AURKA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0FJ-01	NA	NA	NA	NA	-0.012181416	-1.531263437	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0FF-01	NA	NA	NA	NA	-0.22468118	-1.772153202	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0FD-01	NA	NA	NA	NA	0.088286946	-1.618155884	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AT-01	NA	NA	NA	NA	-0.159822803	-1.823900503	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AS-01	NA	NA	NA	NA	-0.42357649	-1.545536219	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AR-01	NA	NA	NA	NA	0	-1.891248119	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AM-01	NA	NA	NA	NA	-0.325859693	-1.811594579	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AL-01	NA	NA	NA	NA	-0.093757472	-0.981467728	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AK-01	NA	NA	NA	NA	-0.271691841	-1.773803147	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AJ-01	NA	NA	NA	NA	-0.080905751	-1.722907365	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A04D-01	NA	NA	NA	NA	-0.015883228	-1.43527699	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A04C-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A04A-01	NA	NA	NA	NA	0.118491852	-1.641832461	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A049-01	NA	NA	NA	NA	-0.226856015	-1.937863592	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A046-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A041-01	NA	NA	NA	NA	-0.164065314	-1.509883446	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A03Y-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A03X-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A8OS-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A8OR-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A8OQ-01	NA	NA	NA	NA	0.147672339	-2.851274652	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A8OP-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A7VC-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A7VB-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A6NO-01	NA	NA	NA	NA	-0.68249875	-2.464653141	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A6IX-01	NA	NA	NA	NA	-0.709599455	-2.557516255	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A6IW-01	NA	NA	NA	NA	-0.787334913	-1.99302362	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A6IV-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A62Y-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A62X-01	NA	NA	NA	NA	-0.279274639	-1.273506601	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A62V-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A5XU-01	NA	NA	NA	NA	-0.194998896	-0.752914761	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A5XS-01	NA	NA	NA	NA	-0.341532268	-1.719680675	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A5EI-01	NA	NA	NA	NA	-0.182717979	-1.102155339	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A5EH-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A4ZE-01	NA	NA	NA	NA	-0.404074661	-1.863041828	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3YJ-01	NA	NA	NA	NA	-0.204880807	-1.663752261	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3YI-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3W7-01	NA	NA	NA	NA	-0.300455168	-1.469877699	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3W6-01	NA	NA	NA	NA	-0.247067465	-1.474390654	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3W5-01	NA	NA	NA	NA	-0.397690168	-1.595774231	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3TN-01	NA	NA	NA	NA	-0.247328466	-1.618812265	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3TM-01	NA	NA	NA	NA	-0.39625604	-1.988463809	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3QQ-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3QP-01	NA	NA	NA	NA	-0.23332598	-1.589809085	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3OD-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3HN-01	NA	NA	NA	NA	-0.389112737	-1.67545205	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3EH-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3BB-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2QJ-01	NA	NA	NA	NA	-0.472543875	-1.404589903	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2QI-01	NA	NA	NA	NA	-0.140605977	-1.534264163	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2QH-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FO-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FM-01	NA	NA	NA	NA	-0.231218103	-1.78002649	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FK-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FG-01	NA	NA	NA	NA	-0.377295886	-1.8019545	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FF-01	NA	NA	NA	NA	-0.384142722	-1.497842135	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FE-01	NA	NA	NA	NA	-0.567572392	-2.094904071	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FB-01	NA	NA	NA	NA	-0.458506173	-1.072377869	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2BM-01	NA	NA	NA	NA	-0.433216827	-2.094140219	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2BK-01	NA	NA	NA	NA	0.179293059	0.393916281	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2B8-01	NA	NA	NA	NA	-0.275245822	-2.157346594	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23H-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23G-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23E-01	NA	NA	NA	NA	-0.679235503	-1.413261238	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23C-01	NA	NA	NA	NA	-0.548105173	-2.672013574	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0AD-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0AB-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A9-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A7-01	NA	NA	NA	NA	-0.454457328	-1.399663485	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A6-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A4-01	NA	NA	NA	NA	-0.753771196	-1.546038429	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A2-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A1-01	NA	NA	NA	NA	NA	NA	NA
