STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	BRCA1	BRCA2	TP53	AURKA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0FJ-01	2271.91	797.719	3614.05	544.418	184.874	289.916	224.49
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0FF-01	1568.79	1383.27	1465.35	403.423	186.62	1701.3	514.953
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0FD-01	945.437000000001	1573.85	1281.28	153.81	127.94	585.136	486.83
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AT-01	1755.84	1247.91	4703.08	46.6993	1034.02	373.883	1029.4
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AS-01	762.784	1088.98	997.522	128.858	120.748	1681.01	325.749
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AR-01	1375.89	2677.13	3541.97	215.67	423.767	345.145	356.325
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AM-01	984.667	1294.99	1506.64	254.884	194.214	2072.54	881.807
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AL-01	912.641	1712.56	2578.5	311.594	239.936	2285.43	721.82
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AK-01	661.209	1322	3672.12	925.693	357.683	3585.64	945.844
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AJ-01	2037.53	1482.77	4008.97	869.084	211.14	491.963	1921.79
brca_tcga_pan_can_atlas_2018	TCGA-AN-A04D-01	2281.89	1526.35	4028.22	627.987	1.7276	1977.83	1910.45
brca_tcga_pan_can_atlas_2018	TCGA-AN-A04C-01	1594.25	1722.29	2492.29	1349.88	139.386	2680.97	845.54
brca_tcga_pan_can_atlas_2018	TCGA-AN-A04A-01	1045.52	1288.87	1087.89	212.185	95.2381	2228.29	332.283
brca_tcga_pan_can_atlas_2018	TCGA-AN-A049-01	793.501	1712.27	1500.64	507.909	275.331	2038.48	418.127
brca_tcga_pan_can_atlas_2018	TCGA-AN-A046-01	1572.13	1528.21	949.262000000001	242.332	140.098	1425.6	235.138
brca_tcga_pan_can_atlas_2018	TCGA-AN-A041-01	1642.76	1640.11	866.534	857.57	391.102	1883.47	366.866
brca_tcga_pan_can_atlas_2018	TCGA-AN-A03Y-01	694.891	1637.73	2184.35	510.182	155.055	2973.92	700.607
brca_tcga_pan_can_atlas_2018	TCGA-AN-A03X-01	806.251	1180.67	766.066	139.053	100.144	1129.64	261.521
