STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	BRCA1	BRCA2	TP53	AURKA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0FJ-01	1.1835	-2.4352	1.2444	0.647	0.3113	-2.706	-0.6682
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0FF-01	0.2154	-0.0236	0.2212	0.2409	0.3223	0.2549	0.3124
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0FD-01	-1.108	0.542	0.0691	-1.0631	-0.1208	-1.532	0.246
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AT-01	0.5099	-0.4749	1.543	-2.6618	2.3397	-2.281	1.1319
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AS-01	-1.6688	-1.0718	-0.2145	-1.3018	-0.1886	0.2348	-0.2288
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AR-01	-0.1275	2.8705	1.2216	-0.6066	1.2876	-2.4147	-0.1228
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AM-01	-1.0017	-0.3126	0.2527	-0.3807	0.3692	0.5855	0.9488
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AL-01	-1.2002	0.9122	0.8617	-0.1089	0.6178	0.7493	0.7119
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AK-01	-2.042	-0.2222	1.2625	1.3668	1.0878	1.5038	1.0317
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AJ-01	0.8988	0.2808	1.362	1.2812	0.4674	-1.8221	1.871
brca_tcga_pan_can_atlas_2018	TCGA-AN-A04D-01	1.1949	0.4077	1.3674	0.8406	-4.6759	0.5071	1.864
brca_tcga_pan_can_atlas_2018	TCGA-AN-A04C-01	0.2575	0.937	0.8232	1.8786	-0.0203	1.0167	0.8991
brca_tcga_pan_can_atlas_2018	TCGA-AN-A04A-01	-0.8451	-0.3334	-0.1163	-0.6286	-0.4663	0.7069	-0.2053
brca_tcga_pan_can_atlas_2018	TCGA-AN-A049-01	-1.5657	0.9115	0.2482	0.5529	0.7797	0.5577	0.0662
brca_tcga_pan_can_atlas_2018	TCGA-AN-A046-01	0.221	0.413	-0.2707	-0.449	-0.0143	-0.0413	-0.6136
brca_tcga_pan_can_atlas_2018	TCGA-AN-A041-01	0.3359	0.7227	-0.374	1.2631	1.1931	0.4252	-0.0884
brca_tcga_pan_can_atlas_2018	TCGA-AN-A03Y-01	-1.9123	0.7164	0.6737	0.559	0.1047	1.1904	0.6766
brca_tcga_pan_can_atlas_2018	TCGA-AN-A03X-01	-1.524	-0.7176	-0.5136	-1.1992	-0.4076	-0.4309	-0.4881
brca_tcga_pan_can_atlas_2018	TCGA-AC-A8OS-01	1.1374	0.3531	-1.1507	-1.1196	-0.0371	-0.7641	-1.5344
brca_tcga_pan_can_atlas_2018	TCGA-AC-A8OR-01	-0.3322	-0.8359	-1.4282	-0.7348	-1.1738	0.7584	-1.2054
brca_tcga_pan_can_atlas_2018	TCGA-AC-A8OQ-01	0.105	-0.1272	1.2868	0.8443	0.988	-1.1869	0.814
brca_tcga_pan_can_atlas_2018	TCGA-AC-A8OP-01	0.3273	1.7236	-0.7193	-0.5145	-0.7443	-0.621	-0.6619
brca_tcga_pan_can_atlas_2018	TCGA-AC-A7VC-01	-0.0847	0.5617	0.634	0.1762	-0.7176	1.256	0.3114
brca_tcga_pan_can_atlas_2018	TCGA-AC-A7VB-01	0.42	1.464	0.452	1.4407	0.274	0.5848	0.8048
brca_tcga_pan_can_atlas_2018	TCGA-AC-A6NO-01	1.1759	0.3733	0.1289	0.5041	0.0397	0.9776	-0.406
