STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	BRCA1	BRCA2	TP53	AURKA
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0FJ-01	1.1335	-3.539	5.039	3.0097	1.6851	-3.9612	2.9058
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0FF-01	0.1593	-0.0571	3.7273	2.1288	1.6986	0.418	4.6335
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0FD-01	-1.1727	0.7597	3.5323	-0.6994	1.1553	-2.2248	4.5165
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AT-01	0.4556	-0.7086	5.4217	-4.1668	4.1723	-3.3326	6.0773
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AS-01	-1.7371	-1.5704	3.1688	-1.217	1.0722	0.3883	3.68
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AR-01	-0.1859	4.1215	5.0097	0.2907	2.8822	-3.5303	3.8667
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AM-01	-1.0658	-0.4743	3.7677	0.7807	1.7561	0.907	5.7546
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AL-01	-1.2655	1.2941	4.5484	1.3703	2.0609	1.1493	5.3372
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AK-01	-2.1127	-0.3437	5.0621	4.5709	2.6373	2.2653	5.9007
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AJ-01	0.847	0.3824	5.1897	4.3853	1.8765	-2.6539	7.3794
brca_tcga_pan_can_atlas_2018	TCGA-AN-A04D-01	1.1451	0.5657	5.1966	3.4296	-4.4299	0.7912	7.367
brca_tcga_pan_can_atlas_2018	TCGA-AN-A04C-01	0.2016	1.33	4.4989	5.681	1.2785	1.5448	5.667
brca_tcga_pan_can_atlas_2018	TCGA-AN-A04A-01	-0.9081	-0.5043	3.2947	0.243	0.7316	1.0866	3.7213
brca_tcga_pan_can_atlas_2018	TCGA-AN-A049-01	-1.6333	1.2931	3.7619	2.8057	2.2594	0.866	4.1997
brca_tcga_pan_can_atlas_2018	TCGA-AN-A046-01	0.1649	0.5734	3.0968	0.6325	1.2858	-0.0199	3.0021
brca_tcga_pan_can_atlas_2018	TCGA-AN-A041-01	0.2805	1.0206	2.9644	4.346	2.7663	0.67	3.9274
brca_tcga_pan_can_atlas_2018	TCGA-AN-A03Y-01	-1.9821	1.0114	4.3073	2.8188	1.4318	1.8018	5.275
brca_tcga_pan_can_atlas_2018	TCGA-AN-A03X-01	-1.5914	-1.059	2.7854	-0.9944	0.8036	-0.5963	3.2231
brca_tcga_pan_can_atlas_2018	TCGA-AC-A8OS-01	1.0872	0.4869	1.9687	-0.822	1.2579	-1.089	1.3798
brca_tcga_pan_can_atlas_2018	TCGA-AC-A8OR-01	-0.3919	-1.2299	1.613	0.0126	-0.1358	1.1628	1.9594
brca_tcga_pan_can_atlas_2018	TCGA-AC-A8OQ-01	0.0481	-0.2065	5.0933	3.4377	2.5148	-1.7144	5.5171
brca_tcga_pan_can_atlas_2018	TCGA-AC-A8OP-01	0.2718	2.4657	2.5217	0.4906	0.3908	-0.8774	2.917
brca_tcga_pan_can_atlas_2018	TCGA-AC-A7VC-01	-0.1428	0.7881	4.2564	1.9886	0.4235	1.8987	4.6316
brca_tcga_pan_can_atlas_2018	TCGA-AC-A7VB-01	0.3652	2.0909	4.0232	4.731	1.6394	0.906	5.501
brca_tcga_pan_can_atlas_2018	TCGA-AC-A6NO-01	1.1259	0.5161	3.609	2.6997	1.3521	1.4871	3.3677
brca_tcga_pan_can_atlas_2018	TCGA-AC-A6IX-01	-0.225	1.2303	2.5324	-0.8551	0.9445	-0.4932	3.1813
brca_tcga_pan_can_atlas_2018	TCGA-AC-A6IW-01	0.1884	-2.0929	5.0895	1.605	1.0478	3.1422	6.3029
brca_tcga_pan_can_atlas_2018	TCGA-AC-A6IV-01	0.5557	0.024	2.8005	1.164	2.0571	0.6319	3.0663
brca_tcga_pan_can_atlas_2018	TCGA-AC-A62Y-01	1.7734	-1.3956	2.786	-0.4972	-0.3934	-1.1526	3.345
brca_tcga_pan_can_atlas_2018	TCGA-AC-A62X-01	0.3179	-0.809	4.6716	2.1712	0.7207	1.4411	4.5444
brca_tcga_pan_can_atlas_2018	TCGA-AC-A62V-01	-0.8636	0.1211	3.2875	1.1967	-0.7991	-0.8158	6.972
brca_tcga_pan_can_atlas_2018	TCGA-AC-A5XU-01	-0.3129	-1.9734	4.2846	1.6649	1.0603	2.5106	4.3627
brca_tcga_pan_can_atlas_2018	TCGA-AC-A5XS-01	-0.3945	0.2727	3.4841	0.5892	0.5373	1.2842	4.5618
brca_tcga_pan_can_atlas_2018	TCGA-AC-A5EI-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A5EH-01	-1.0121	-0.3969	3.9051	-0.0601	1.4318	0.5927	5.4047
brca_tcga_pan_can_atlas_2018	TCGA-AC-A4ZE-01	0.256	-0.0763	3.0834	2.423	1.0272	-2.4063	3.4396
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3YJ-01	-0.2534	-0.4559	1.6825	-1.5072	-1.0877	0.4324	2.0594
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3YI-01	-0.0287	-0.6667	0.9355	-1.6293	0.0753	0.5602	0.453
