STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	AURKA	BRCA1	BRCA2	TP53
ov_tcga_pan_can_atlas_2018	TCGA-29-1699-01	-0.22	-0.292	0.487	0.835	-0.438	-0.82	-0.752
ov_tcga_pan_can_atlas_2018	TCGA-29-1698-01	-0.061	-0.177	1.1	1.33	-0.165	-0.745	-0.187
ov_tcga_pan_can_atlas_2018	TCGA-29-1697-01	0.03	-0.134	0.137	1.64	-0.94	-0.964	0.151
ov_tcga_pan_can_atlas_2018	TCGA-29-1696-01	-0.045	0.003	-0.008	0.928	0.063	0.878	-0.916
ov_tcga_pan_can_atlas_2018	TCGA-29-1695-01	-0.059	-0.061	1.59	-0.199	-0.511	0.346	-0.554
ov_tcga_pan_can_atlas_2018	TCGA-29-1694-01	-0.001	-0.792	0.011	0.012	-0.769	-0.253	-0.769
ov_tcga_pan_can_atlas_2018	TCGA-29-1693-01	-0.815	-0.842	-0.423	1.05	-0.801	-0.834	-0.848
ov_tcga_pan_can_atlas_2018	TCGA-29-1692-01	0.027	0.107	-0.029	-0.018	-0.344	-0.759	-0.344
ov_tcga_pan_can_atlas_2018	TCGA-29-1691-01	-0.135	-0.596	0.364	0.364	0.514	-0.621	-0.039
ov_tcga_pan_can_atlas_2018	TCGA-29-1690-01	-0.002	0.019	0.025	0.025	0.05	-0.013	0.05
ov_tcga_pan_can_atlas_2018	TCGA-29-1688-01	-0.335	-0.199	0.011	0.843	-0.876	0.025	-0.876
ov_tcga_pan_can_atlas_2018	TCGA-25-2409-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2408-01	0.007	-0.025	0.718	0.718	-0.022	0.006	-0.022
ov_tcga_pan_can_atlas_2018	TCGA-25-2404-01	0.016	0.385	0.508	0.508	0.166	-0.515	0.337
ov_tcga_pan_can_atlas_2018	TCGA-25-2401-01	0	-0.05	-0.005	0.533	-0.539	-1.19	-0.396
ov_tcga_pan_can_atlas_2018	TCGA-25-2400-01	-0.159	-0.128	0.842	0.842	-0.291	-0.603	0.581
ov_tcga_pan_can_atlas_2018	TCGA-25-2399-01	1.56	-0.251	0.094	0.094	-0.69	-0.819	-0.784
ov_tcga_pan_can_atlas_2018	TCGA-25-2398-01	0.369	0	1.43	0.821	-0.364	0.294	-0.005
ov_tcga_pan_can_atlas_2018	TCGA-25-2397-01	0.04	-0.073	-0.007	-0.009	-0.813	-0.826	0.025
ov_tcga_pan_can_atlas_2018	TCGA-25-2396-01	-0.16	0.016	1.35	1.35	0.04	-0.645	-0.265
ov_tcga_pan_can_atlas_2018	TCGA-25-2393-01	1.03	0.035	0.212	0.212	-0.524	-0.577	-0.527
ov_tcga_pan_can_atlas_2018	TCGA-25-2392-01	0.052	0.173	-0.198	1.23	0.187	-0.88	-0.168
ov_tcga_pan_can_atlas_2018	TCGA-25-2391-01	0.698	-0.74	0.007	0.007	-0.831	-0.844	-0.856
ov_tcga_pan_can_atlas_2018	TCGA-25-2042-01	-0.022	-0.499	0.012	0.515	-0.488	0.396	-0.488
