STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	AURKA	BRCA1	BRCA2	TP53
ov_tcga_pan_can_atlas_2018	TCGA-29-1699-01	NA	NA	NA	NA	NA	-0.402824123	-1.073473278
ov_tcga_pan_can_atlas_2018	TCGA-29-1698-01	NA	NA	NA	NA	NA	-0.465690991	-0.627156903
ov_tcga_pan_can_atlas_2018	TCGA-29-1697-01	NA	NA	NA	NA	NA	-0.609034915	-0.561459348
ov_tcga_pan_can_atlas_2018	TCGA-29-1696-01	NA	NA	NA	NA	NA	-0.683525912	-1.885076912
ov_tcga_pan_can_atlas_2018	TCGA-29-1695-01	NA	NA	NA	NA	NA	-0.559343509	-0.748443444
ov_tcga_pan_can_atlas_2018	TCGA-29-1694-01	NA	NA	NA	NA	NA	-0.787445097	-1.246132645
ov_tcga_pan_can_atlas_2018	TCGA-29-1693-01	NA	NA	NA	NA	NA	-0.383439747	-1.483801664
ov_tcga_pan_can_atlas_2018	TCGA-29-1692-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-29-1691-01	NA	NA	NA	NA	NA	-0.570694914	-1.805921087
ov_tcga_pan_can_atlas_2018	TCGA-29-1690-01	NA	NA	NA	NA	NA	-0.605640859	-1.390187381
ov_tcga_pan_can_atlas_2018	TCGA-29-1688-01	NA	NA	NA	NA	NA	-0.646447204	-1.064390671
ov_tcga_pan_can_atlas_2018	TCGA-25-2409-01	NA	NA	NA	NA	NA	-0.326493721	-1.037736031
ov_tcga_pan_can_atlas_2018	TCGA-25-2408-01	NA	NA	NA	NA	NA	-0.16469901	-1.565641873
ov_tcga_pan_can_atlas_2018	TCGA-25-2404-01	NA	NA	NA	NA	NA	-0.39275578	-0.786781307
ov_tcga_pan_can_atlas_2018	TCGA-25-2401-01	NA	NA	NA	NA	NA	-0.598285336	-1.3002505
ov_tcga_pan_can_atlas_2018	TCGA-25-2400-01	NA	NA	NA	NA	NA	-0.620874036	-1.83608027
ov_tcga_pan_can_atlas_2018	TCGA-25-2399-01	NA	NA	NA	NA	NA	-0.586719543	-1.351564842
ov_tcga_pan_can_atlas_2018	TCGA-25-2398-01	NA	NA	NA	NA	NA	-0.454457328	-1.000773807
ov_tcga_pan_can_atlas_2018	TCGA-25-2397-01	NA	NA	NA	NA	NA	-0.447330818	-0.875002653
ov_tcga_pan_can_atlas_2018	TCGA-25-2396-01	NA	NA	NA	NA	NA	-0.521008519	-1.089828294
ov_tcga_pan_can_atlas_2018	TCGA-25-2393-01	NA	NA	NA	NA	NA	-0.22344589	-0.714030921
ov_tcga_pan_can_atlas_2018	TCGA-25-2392-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2391-01	NA	NA	NA	NA	NA	-0.666395666	-1.779672139
ov_tcga_pan_can_atlas_2018	TCGA-25-2042-01	NA	NA	NA	NA	NA	-0.640882538	-1.305679567
ov_tcga_pan_can_atlas_2018	TCGA-25-1878-01	NA	NA	NA	NA	NA	-0.371667572	-1.62586674
ov_tcga_pan_can_atlas_2018	TCGA-25-1877-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1871-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1870-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1635-01	NA	NA	NA	NA	NA	-0.737132614	-1.128647227
