STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	AURKA	BRCA1	BRCA2	TP53
ov_tcga_pan_can_atlas_2018	TCGA-29-1699-01	NA	NA	NA	NA	NA	0.4721	0.3063
ov_tcga_pan_can_atlas_2018	TCGA-29-1698-01	NA	NA	NA	NA	NA	0.1421	1.2699
ov_tcga_pan_can_atlas_2018	TCGA-29-1697-01	NA	NA	NA	NA	NA	-0.6101	1.4117
ov_tcga_pan_can_atlas_2018	TCGA-29-1696-01	NA	NA	NA	NA	NA	-1.0011	-1.4458
ov_tcga_pan_can_atlas_2018	TCGA-29-1695-01	NA	NA	NA	NA	NA	-0.3493	1.008
ov_tcga_pan_can_atlas_2018	TCGA-29-1694-01	NA	NA	NA	NA	NA	-1.5464	-0.0664
ov_tcga_pan_can_atlas_2018	TCGA-29-1693-01	NA	NA	NA	NA	NA	0.5738	-0.5795
ov_tcga_pan_can_atlas_2018	TCGA-29-1692-01	NP	NP	NP	NP	NP	NP	NP
ov_tcga_pan_can_atlas_2018	TCGA-29-1691-01	NA	NA	NA	NA	NA	-0.4089	-1.2749
ov_tcga_pan_can_atlas_2018	TCGA-29-1690-01	NA	NA	NA	NA	NA	-0.5923	-0.3774
ov_tcga_pan_can_atlas_2018	TCGA-29-1688-01	NA	NA	NA	NA	NA	-0.8065	0.3259
ov_tcga_pan_can_atlas_2018	TCGA-25-2409-01	NA	NA	NA	NA	NA	0.8726	0.3835
ov_tcga_pan_can_atlas_2018	TCGA-25-2408-01	NA	NA	NA	NA	NA	1.7217	-0.7562
ov_tcga_pan_can_atlas_2018	TCGA-25-2404-01	NA	NA	NA	NA	NA	0.5249	0.9252
ov_tcga_pan_can_atlas_2018	TCGA-25-2401-01	NA	NA	NA	NA	NA	-0.5537	-0.1833
ov_tcga_pan_can_atlas_2018	TCGA-25-2400-01	NA	NA	NA	NA	NA	-0.6723	-1.3401
ov_tcga_pan_can_atlas_2018	TCGA-25-2399-01	NA	NA	NA	NA	NA	-0.493	-0.294
ov_tcga_pan_can_atlas_2018	TCGA-25-2398-01	NA	NA	NA	NA	NA	0.2011	0.4633
ov_tcga_pan_can_atlas_2018	TCGA-25-2397-01	NA	NA	NA	NA	NA	0.2385	0.7348
ov_tcga_pan_can_atlas_2018	TCGA-25-2396-01	NA	NA	NA	NA	NA	-0.1482	0.271
ov_tcga_pan_can_atlas_2018	TCGA-25-2393-01	NA	NA	NA	NA	NA	1.4134	1.0823
ov_tcga_pan_can_atlas_2018	TCGA-25-2392-01	NP	NP	NP	NP	NP	NP	NP
ov_tcga_pan_can_atlas_2018	TCGA-25-2391-01	NA	NA	NA	NA	NA	-0.9112	-1.2183
ov_tcga_pan_can_atlas_2018	TCGA-25-2042-01	NA	NA	NA	NA	NA	-0.7773	-0.195
ov_tcga_pan_can_atlas_2018	TCGA-25-1878-01	NA	NA	NA	NA	NA	0.6356	-0.8862
ov_tcga_pan_can_atlas_2018	TCGA-25-1877-01	NP	NP	NP	NP	NP	NP	NP
ov_tcga_pan_can_atlas_2018	TCGA-25-1871-01	NP	NP	NP	NP	NP	NP	NP
ov_tcga_pan_can_atlas_2018	TCGA-25-1870-01	NP	NP	NP	NP	NP	NP	NP
ov_tcga_pan_can_atlas_2018	TCGA-25-1635-01	NA	NA	NA	NA	NA	-1.2824	0.1872
