STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	AURKA	BRCA1	BRCA2	TP53
ov_tcga_pan_can_atlas_2018	TCGA-29-1699-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-29-1698-01	0.3678	0.3779	0.6976	NA	NA	0.0822	1.1545
ov_tcga_pan_can_atlas_2018	TCGA-29-1697-01	0.9434	0.1363	0.7697	NA	NA	NA	1.5581
ov_tcga_pan_can_atlas_2018	TCGA-29-1696-01	-1.1881	-0.3136	-0.112	NA	NA	1.3664	-0.9017
ov_tcga_pan_can_atlas_2018	TCGA-29-1695-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-29-1694-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-29-1693-01	-0.7941	-0.3779	-1.8538	NA	NA	NA	-0.07
ov_tcga_pan_can_atlas_2018	TCGA-29-1692-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-29-1691-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-29-1690-01	-0.8341	-0.636	-1.4323	NA	NA	NA	-1.8377
ov_tcga_pan_can_atlas_2018	TCGA-29-1688-01	0.1176	-0.06	0.7647	NA	NA	NA	1.3065
ov_tcga_pan_can_atlas_2018	TCGA-25-2409-01	0.7106	-0.2458	-0.694	NA	NA	0.1239	0.7115
ov_tcga_pan_can_atlas_2018	TCGA-25-2408-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2404-01	-0.9609	0.5375	-0.7439	NA	NA	0.8306	-0.087
ov_tcga_pan_can_atlas_2018	TCGA-25-2401-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2400-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2399-01	2.5005	-0.2056	-0.152	NA	NA	1.5609	-0.1897
ov_tcga_pan_can_atlas_2018	TCGA-25-2398-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2397-01	-1.1979	1.1974	-0.7166	NA	NA	0.776	1.3703
ov_tcga_pan_can_atlas_2018	TCGA-25-2396-01	-1.355	-0.3598	1.0097	NA	NA	NA	0.2819
ov_tcga_pan_can_atlas_2018	TCGA-25-2393-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2392-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2391-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2042-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1878-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1877-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1871-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1870-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1635-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1634-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1633-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1632-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1631-01	0.3954	0.0369	0.0136	NA	NA	NA	-2.1776
ov_tcga_pan_can_atlas_2018	TCGA-25-1630-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1628-01	0.4025	0.0299	-0.1564	NA	NA	-0.4388	-1.235
ov_tcga_pan_can_atlas_2018	TCGA-25-1627-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1626-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1625-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1623-01	-3.2938	-3.3748	2.3221	NA	NA	NA	0.3732
ov_tcga_pan_can_atlas_2018	TCGA-25-1329-01	-0.0001	0.059	0.0769	NA	NA	-0.0865	-1.6002
ov_tcga_pan_can_atlas_2018	TCGA-25-1328-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1326-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1324-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1323-01	0.5337	0.8067	0.1219	NA	NA	NA	0.4357
ov_tcga_pan_can_atlas_2018	TCGA-25-1322-01	0.5258	-0.0098	2.0576	NA	NA	NA	0.6519
ov_tcga_pan_can_atlas_2018	TCGA-25-1321-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1320-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1319-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1318-01	0.2162	0.5029	-0.173	NA	NA	NA	0.4064
ov_tcga_pan_can_atlas_2018	TCGA-25-1317-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1316-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1315-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1314-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1313-01	-1.772	-0.2513	-0.8554	NA	NA	0.5919	0.8653
ov_tcga_pan_can_atlas_2018	TCGA-25-1312-01	0.4122	-0.5672	0.7188	NA	NA	-1.1093	-1.0319
ov_tcga_pan_can_atlas_2018	TCGA-24-2298-01	0.499	0.4401	0.5155	NA	NA	NA	-0.4504
ov_tcga_pan_can_atlas_2018	TCGA-24-2297-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2295-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2293-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2290-01	0.7283	0.5998	0.7138	NA	NA	-0.9598	0.7143
ov_tcga_pan_can_atlas_2018	TCGA-24-2289-01	0.0711	-0.7324	-1.351	NA	NA	NA	-0.506
ov_tcga_pan_can_atlas_2018	TCGA-24-2288-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2281-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2280-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2271-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2267-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2262-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2261-01	-2.7037	1.3546	1.6919	NA	NA	-0.4663	0.3497
ov_tcga_pan_can_atlas_2018	TCGA-24-2260-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2254-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2038-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2035-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2033-01	-0.0495	-0.3242	0.2969	NA	NA	1.3797	0.265
ov_tcga_pan_can_atlas_2018	TCGA-24-2030-01	1.3816	0.0505	0.8752	NA	NA	0.8142	-0.5589
ov_tcga_pan_can_atlas_2018	TCGA-24-2029-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2027-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2026-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2024-01	0.0346	1.2672	-2.2927	NA	NA	NA	1.364
ov_tcga_pan_can_atlas_2018	TCGA-24-2023-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2020-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2019-01	NA	NA	NA	NA	NA	NA	NA
