STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	AURKA	BRCA1	BRCA2	TP53
ov_tcga_pan_can_atlas_2018	TCGA-29-1699-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-29-1698-01	0.0497	0.1147	0.2946	NA	NA	0.0631	0.6615
ov_tcga_pan_can_atlas_2018	TCGA-29-1697-01	0.2453	0.0666	0.329	NA	NA	NA	0.9769
ov_tcga_pan_can_atlas_2018	TCGA-29-1696-01	-0.479	-0.023	-0.0917	NA	NA	0.5166	-0.9457
ov_tcga_pan_can_atlas_2018	TCGA-29-1695-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-29-1694-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-29-1693-01	-0.3451	-0.0358	-0.9228	NA	NA	NA	-0.2956
ov_tcga_pan_can_atlas_2018	TCGA-29-1692-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-29-1691-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-29-1690-01	-0.3587	-0.0872	-0.7217	NA	NA	NA	-1.6773
ov_tcga_pan_can_atlas_2018	TCGA-29-1688-01	-0.0353	0.0275	0.3266	NA	NA	NA	0.7803
ov_tcga_pan_can_atlas_2018	TCGA-25-2409-01	0.1662	-0.0095	-0.3694	NA	NA	0.0778	0.3152
ov_tcga_pan_can_atlas_2018	TCGA-25-2408-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2404-01	-0.4018	0.1465	-0.3932	NA	NA	0.3274	-0.3089
ov_tcga_pan_can_atlas_2018	TCGA-25-2401-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2400-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2399-01	0.7744	-0.0015	-0.1108	NA	NA	0.5853	-0.3892
ov_tcga_pan_can_atlas_2018	TCGA-25-2398-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2397-01	-0.4823	0.2779	-0.3802	NA	NA	0.3081	0.8301
ov_tcga_pan_can_atlas_2018	TCGA-25-2396-01	-0.5357	-0.0322	0.4435	NA	NA	NA	-0.0206
ov_tcga_pan_can_atlas_2018	TCGA-25-2393-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2392-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2391-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2042-01	NA	NA	NA	NA	NA	NA	NA
