STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	AURKA	BRCA1	BRCA2	TP53
ov_tcga_pan_can_atlas_2018	TCGA-29-1699-01	-0.87	-0.5437	0.0809	0.1278	0.5986	0.2902	0.6718
ov_tcga_pan_can_atlas_2018	TCGA-29-1698-01	-0.197	-0.02	1.2749	1.0919	0.8802	-0.6169	1.2452
ov_tcga_pan_can_atlas_2018	TCGA-29-1697-01	0.6409	-0.2235	1.0896	0.8143	1.0475	0.3551	1.1023
ov_tcga_pan_can_atlas_2018	TCGA-29-1696-01	0.3766	0.9819	-1.3605	0.2352	-0.97	0.3815	-2.0022
ov_tcga_pan_can_atlas_2018	TCGA-29-1695-01	0.3933	0.1234	0.6937	-0.6083	0.7581	1.0255	1.0998
ov_tcga_pan_can_atlas_2018	TCGA-29-1694-01	-0.243	-2.1368	-0.9626	-1.028	-1.8569	-0.3448	0.013
ov_tcga_pan_can_atlas_2018	TCGA-29-1693-01	0.0592	0.024	-1.8954	-0.0615	-0.088	-0.7945	-1.6928
ov_tcga_pan_can_atlas_2018	TCGA-29-1692-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-29-1691-01	0.3943	-0.5169	0.9497	0.7254	1.6184	0.6641	-1.2805
ov_tcga_pan_can_atlas_2018	TCGA-29-1690-01	0.0002	0.7979	-2.7282	-2.5598	-0.2306	-1.2595	0.6786
ov_tcga_pan_can_atlas_2018	TCGA-29-1688-01	0.0625	0.5109	0.2787	0.7569	-0.2799	1.3251	0.3683
ov_tcga_pan_can_atlas_2018	TCGA-25-2409-01	0.4199	-1.6992	-1.131	-0.6491	-0.2969	-0.5125	0.6518
ov_tcga_pan_can_atlas_2018	TCGA-25-2408-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2404-01	-2.0352	0.4345	0.3018	0.6366	0.7585	-2.3179	1.0687
ov_tcga_pan_can_atlas_2018	TCGA-25-2401-01	-1.576	-0.7637	0.1207	0.6598	0.2766	-1.2066	0.4785
ov_tcga_pan_can_atlas_2018	TCGA-25-2400-01	-2.1695	-0.1216	0.3682	-0.2806	0.4956	0.1127	-1.6228
ov_tcga_pan_can_atlas_2018	TCGA-25-2399-01	1.3086	-0.371	0.2573	-0.1044	0.4446	-0.2071	0.3666
ov_tcga_pan_can_atlas_2018	TCGA-25-2398-01	0.4948	0.0452	0.678	-0.5869	0.3847	-0.0016	0.8477
ov_tcga_pan_can_atlas_2018	TCGA-25-2397-01	-0.2213	0.961	-1.3452	-0.9845	-3.0157	-1.7319	0.3136
ov_tcga_pan_can_atlas_2018	TCGA-25-2396-01	-1.3641	0.0357	0.9719	0.8954	1.0077	0.0463	0.9677
ov_tcga_pan_can_atlas_2018	TCGA-25-2393-01	0.8062	0.7033	0.5542	0.0297	0.4512	-0.1439	1.4079
ov_tcga_pan_can_atlas_2018	TCGA-25-2392-01	-0.6769	0.6274	-0.8509	0.4768	-0.1683	-1.0338	0.5428
ov_tcga_pan_can_atlas_2018	TCGA-25-2391-01	0.3712	-1.4105	-0.0797	-0.0732	0.3717	0.2087	-1.2125
ov_tcga_pan_can_atlas_2018	TCGA-25-2042-01	-0.9649	-2.0713	-1.1044	-0.725	-1.1846	0.8108	-0.8599
ov_tcga_pan_can_atlas_2018	TCGA-25-1878-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1877-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1871-01	0.7941	1.2448	1.1719	-0.5838	1.1701	0.8278	-0.009
ov_tcga_pan_can_atlas_2018	TCGA-25-1870-01	1.2195	0.5135	-1.8939	-1.882	-0.3238	-1.0527	-1.4717
ov_tcga_pan_can_atlas_2018	TCGA-25-1635-01	-1.145	-0.7271	0.1011	0.7576	0.931	0.757	0.6769
ov_tcga_pan_can_atlas_2018	TCGA-25-1634-01	0.9967	0.4922	-0.2212	-0.9306	0.3412	-1.3068	-2.0007
ov_tcga_pan_can_atlas_2018	TCGA-25-1633-01	-0.7846	-0.3416	-1.4135	-1.2748	-0.5248	-2.1632	0.4766
ov_tcga_pan_can_atlas_2018	TCGA-25-1632-01	-0.2354	-0.0584	-0.8045	-0.7307	-1.4645	-0.9521	1.0918
ov_tcga_pan_can_atlas_2018	TCGA-25-1631-01	-0.0993	-0.914	-0.2013	0.1439	0.3513	-0.7071	-1.5639
ov_tcga_pan_can_atlas_2018	TCGA-25-1630-01	0.363	0.1612	-0.4457	-0.0675	-0.4663	0.5307	0.2824
ov_tcga_pan_can_atlas_2018	TCGA-25-1628-01	0.8339	0.0396	0.2675	0.0728	0.9056	0.9352	-0.4977
ov_tcga_pan_can_atlas_2018	TCGA-25-1627-01	-2.1254	-1.0512	0.2169	0.2818	0.5932	1.3794	0.8279
ov_tcga_pan_can_atlas_2018	TCGA-25-1626-01	0.0405	0.0322	-0.0321	-0.8452	0.2006	0.6334	0.4764
ov_tcga_pan_can_atlas_2018	TCGA-25-1625-01	-1.6829	-0.9722	-1.3159	-1.1266	-1.0408	-1.159	0.1809
ov_tcga_pan_can_atlas_2018	TCGA-25-1623-01	-0.3345	1.3641	0.8282	0.8271	0.4922	0.3878	0.8728
ov_tcga_pan_can_atlas_2018	TCGA-25-1329-01	-0.247	-1.0168	0.7238	1.0057	0.8073	0.2692	-1.3449
ov_tcga_pan_can_atlas_2018	TCGA-25-1328-01	0.0948	0.1248	-2.9649	-2.9726	-0.307	-1.1908	0.9654
