STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	AURKA	BRCA1	BRCA2	TP53
ov_tcga_pan_can_atlas_2018	TCGA-29-1699-01	-0.7963	-0.9569	0.3761	0.2	-0.122	-0.1907	0.2255
ov_tcga_pan_can_atlas_2018	TCGA-29-1698-01	-0.0593	-0.4412	3.3459	1.7988	0.2948	-0.9567	1.3621
ov_tcga_pan_can_atlas_2018	TCGA-29-1697-01	1.2066	-0.6501	2.7182	1.2417	0.6051	-0.117	1.0179
ov_tcga_pan_can_atlas_2018	TCGA-29-1696-01	0.7579	0.7667	-1.139	0.3364	-1.1264	-0.086	-1.2069
ov_tcga_pan_can_atlas_2018	TCGA-29-1695-01	0.7848	-0.2872	1.6096	-0.5343	0.0995	0.8543	1.0124
ov_tcga_pan_can_atlas_2018	TCGA-29-1694-01	-0.1165	-2.1529	-0.8531	-0.8302	-1.2789	-0.7716	-0.501
ov_tcga_pan_can_atlas_2018	TCGA-29-1693-01	0.2813	-0.3945	-1.4218	-0.0204	-0.7546	-1.0613	-1.1656
ov_tcga_pan_can_atlas_2018	TCGA-29-1692-01	NP	NP	NP	NP	NP	NP	NP
ov_tcga_pan_can_atlas_2018	TCGA-29-1691-01	0.7864	-0.9322	2.2929	1.0818	2.1638	0.2794	-1.0876
ov_tcga_pan_can_atlas_2018	TCGA-29-1690-01	0.1996	0.5204	-1.7038	-1.4558	-0.8393	-1.2849	0.2356
ov_tcga_pan_can_atlas_2018	TCGA-29-1688-01	0.286	0.1592	0.721	1.1376	-0.8658	1.4426	-0.1661
ov_tcga_pan_can_atlas_2018	TCGA-25-2409-01	0.828	-1.8725	-0.9833	-0.5664	-0.8747	-0.8894	0.1961
ov_tcga_pan_can_atlas_2018	TCGA-25-2408-01	NP	NP	NP	NP	NP	NP	NP
ov_tcga_pan_can_atlas_2018	TCGA-25-2404-01	-1.6668	0.0676	0.7643	0.9303	0.1001	-1.6025	0.9436
ov_tcga_pan_can_atlas_2018	TCGA-25-2401-01	-1.3738	-1.1533	0.4419	0.9692	-0.4733	-1.2627	-0.0369
ov_tcga_pan_can_atlas_2018	TCGA-25-2400-01	-1.7422	-0.5468	0.8925	-0.2464	-0.2471	-0.3775	-1.1544
ov_tcga_pan_can_atlas_2018	TCGA-25-2399-01	2.5914	-0.7945	0.6815	-0.067	-0.3043	-0.6648	-0.168
ov_tcga_pan_can_atlas_2018	TCGA-25-2398-01	0.9524	-0.3718	1.5713	-0.5171	-0.3679	-0.4869	0.5105
ov_tcga_pan_can_atlas_2018	TCGA-25-2397-01	-0.0897	0.7381	-1.1294	-0.8028	-1.3513	-1.4533	-0.2254
ov_tcga_pan_can_atlas_2018	TCGA-25-2396-01	-1.2182	-0.382	2.3578	1.3951	0.5266	-0.4421	0.7342
ov_tcga_pan_can_atlas_2018	TCGA-25-2393-01	1.5139	0.3984	1.2834	0.0827	-0.2971	-0.6125	1.8154
ov_tcga_pan_can_atlas_2018	TCGA-25-2392-01	-0.6058	0.3026	-0.7584	0.6768	-0.8038	-1.1846	0.0451
ov_tcga_pan_can_atlas_2018	TCGA-25-2391-01	0.7492	-1.669	0.1276	-0.0332	-0.3812	-0.2791	-1.0715
ov_tcga_pan_can_atlas_2018	TCGA-25-2042-01	-0.8843	-2.113	-0.9637	-0.6241	-1.1767	0.4968	-0.9689
ov_tcga_pan_can_atlas_2018	TCGA-25-1878-01	NP	NP	NP	NP	NP	NP	NP
ov_tcga_pan_can_atlas_2018	TCGA-25-1877-01	NP	NP	NP	NP	NP	NP	NP
ov_tcga_pan_can_atlas_2018	TCGA-25-1871-01	1.4905	1.1398	2.9874	-0.5147	0.8683	0.5235	-0.5182
ov_tcga_pan_can_atlas_2018	TCGA-25-1870-01	2.3831	0.1625	-1.4211	-1.2465	-0.8883	-1.1936	-1.1276
ov_tcga_pan_can_atlas_2018	TCGA-25-1635-01	-1.0419	-1.1214	0.4093	1.1387	0.3836	0.4147	0.2332
ov_tcga_pan_can_atlas_2018	TCGA-25-1634-01	1.8956	0.1367	-0.0706	-0.7679	-0.4117	-1.3042	-1.2067
ov_tcga_pan_can_atlas_2018	TCGA-25-1633-01	-0.7139	-0.7662	-1.1717	-0.9728	-0.9796	-1.5684	-0.0392
ov_tcga_pan_can_atlas_2018	TCGA-25-1632-01	-0.1072	-0.4814	-0.7169	-0.6283	-1.2278	-1.1446	0.9946
ov_tcga_pan_can_atlas_2018	TCGA-25-1631-01	0.0663	-1.2811	-0.0439	0.2199	-0.4018	-1.0113	-1.1444
